Module no,Equipment Code,Create time,is_failure,time_delta_s,time_delta_rolling_avg,time_delta_rolling_std,time_delta_s_lag_1,time_delta_s_lag_2,operator_action_rolling_count_1h,ACTIVITY,TimesFlag,shift_A,shift_B,route_IVretest,route_MainProcess,route_PostReworkProcess,route_ReworkProcess
SL2125TGTG0780172,Sael01-01-IVT01,2025-03-19 14:59:51,0,41.0,30.1,9.848293032578383,32.0,21.0,74.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0621634,Sael01-02-IVT01,2025-03-04 12:44:09,0,25.0,44.1,30.780405026546173,30.0,47.0,71.0,1.0,7.0,True,False,True,False,False,False
SL2225TGTG0871991,Sael01-02-IVT01,2025-03-29 10:41:18,0,64.0,45.4,29.394632950427614,14.0,48.0,106.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG2292787,Sael01-02-LAY01,2025-08-20 02:59:10,0,14.0,18.3,16.64698838274485,26.0,36.0,29.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0790589,Sael01-01-IVT01,2025-03-22 08:39:12,0,20.0,30.7,13.474667099148741,25.0,15.0,0.0,1.0,7.0,True,False,False,True,False,False
SL2125TGTG2301641,Sael01-01-LAY01,2025-08-19 13:16:32,0,26.0,44.6,53.69502356415343,38.0,26.0,103.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0881111,Sael01-02-IVT01,2025-03-30 00:22:50,0,136.0,44.1,34.21646779713881,47.0,17.0,99.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0840698,Sael01-01-IVT01,2025-03-25 20:05:28,0,19.0,27.4,11.077504135605972,39.0,47.0,29.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0860315,Sael01-01-IVT01,2025-03-27 17:33:00,0,20.0,58.9,96.3252014335251,327.0,17.0,94.0,1.0,7.0,True,False,False,True,False,False
SL2125TGTG0830208,Sael01-01-IVT01,2025-03-24 15:02:39,0,17.0,25.3,10.165846310447941,32.0,17.0,102.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0662141,Sael01-02-IVT01,2025-03-08 12:50:21,1,32.0,30.0,9.165151404366965,29.0,14.0,87.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0641978,Sael01-02-IVT01,2025-03-06 08:30:56,1,20.0,28.2,11.350966686117996,38.0,45.0,107.0,1.0,7.0,True,False,False,True,False,False
SL2325TGTG0880453,Sael01-03-IVT01,2025-03-29 16:46:06,0,21.0,32.0,20.088692081038836,22.0,38.0,0.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG2290726,Sael01-02-LAY01,2025-08-18 22:44:21,0,30.0,125.9,187.81163731543452,60.0,58.0,64.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0810866,Sael01-01-IVT01,2025-03-22 20:29:41,0,71.0,34.5,22.65808631935367,32.0,6.0,0.0,1.0,7.0,False,True,False,True,False,False
SL2225TGTG0570938,Sael01-02-IVT01,2025-03-03 10:38:02,0,3508.0,7742.4,23168.153013230134,73607.0,34.0,99.0,1.0,7.0,True,False,True,False,False,False
SL2325TGTG2291158,Sael01-03-LAY01,2025-08-19 06:03:34,0,20.0,47.7,63.90105198227433,225.0,64.0,0.0,1.0,7.0,False,True,False,True,False,False
SL2225TGTG0870627,Sael01-02-IVT01,2025-03-28 21:59:00,0,50.0,57.1,61.96854042049038,129.0,1.0,79.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0792273,Sael01-01-IVT01,2025-03-21 14:43:29,0,29.0,51.0,42.21374168167339,19.0,165.0,0.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0661066,Sael01-02-IVT01,2025-03-08 00:24:42,1,44.0,33.6,11.768130231853007,29.0,11.0,91.0,1.0,7.0,False,True,False,True,False,False
SL2225TGTG0641374,Sael01-02-IVT01,2025-03-06 06:04:49,1,9.0,39.2,24.634212889989342,92.0,44.0,117.0,1.0,7.0,False,True,False,True,False,False
SL2325TGTG0662374,Sael01-03-IVT01,2025-03-08 11:27:09,0,19.0,31.6,17.263963756489193,25.0,18.0,119.0,1.0,7.0,True,False,False,True,False,False
SL2125TGTG2292947,Sael01-01-LAY01,2025-08-18 12:15:48,0,67.0,52.9,38.45762458718538,50.0,139.0,116.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0860112,Sael01-02-IVT01,2025-03-27 15:48:08,0,32.0,38.3,21.5872905422875,71.0,40.0,110.0,1.0,7.0,True,False,False,True,False,False
SL2325TGTG0891364,Sael01-03-IVT01,2025-03-31 04:23:28,0,26.0,26.5,4.836205419559064,24.0,32.0,0.0,1.0,7.0,False,True,False,True,False,False
SL2125TGTG0821931,Sael01-03-IVT01,2025-03-27 14:13:58,0,192.0,201.4,401.1827513664669,143.0,76.0,117.0,1.0,7.0,True,False,False,True,False,False
SL2225TGTG0641176,Sael01-02-IVT01,2025-03-06 00:42:22,0,150.0,41.0,41.03927658337916,15.0,38.0,82.0,1.0,7.0,False,True,False,True,False,False
SL2325TGTG2291124,Sael01-03-LAY01,2025-08-19 05:23:16,0,19.0,71.3,75.2478128142619,20.0,134.0,0.0,1.0,7.0,False,True,False,True,False,False
SL2325TGTG0880813,Sael01-03-IVT01,2025-03-29 19:57:21,0,18.0,38.3,32.4004457200825,30.0,19.0,0.0,1.0,7.0,False,True,False,True,False,False
SL2325TGTG0881423,Sael01-03-IVT01,2025-03-30 01:53:14,0,49.0,33.0,11.690451686649505,42.0,38.0,0.0,1.0,7.0,False,True,False,True,False,False
