Module no,Workorder no,Material code,Room,Line Code,Equipment Code,Responsible Route operation,Quantity,Create time,Creator,ACTIVITY,TimesFlag,UNDO_FLAG,is_failure,time_delta_s,time_delta_rolling_avg,time_delta_rolling_std,time_delta_s_lag_1,time_delta_s_lag_2,operator_action_rolling_count_1h,shift_A,shift_B,route_IVretest,route_MainProcess,route_PostReworkProcess,route_ReworkProcess
SL2125TGTG0900547,2000617,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-31 19:43:24,OPERATOR,1.0,7.0,False,0,42.0,39.1,24.72717776250248,91.0,19.0,125.0,False,True,False,True,False,False
SL2225TGTG0890574,2000615,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-30 19:39:29,OPERATOR,1.0,7.0,False,0,63.0,37.2,24.178962427452827,44.0,6.0,100.0,False,True,False,True,False,False
SL2125TGTG0801348,L1J80,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-22 02:47:49,OPERATOR,1.0,7.0,False,0,21.0,30.0,16.451949836808428,26.0,17.0,0.0,False,True,False,True,False,False
SL2225TGTG0871817,2000602,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-29 08:14:50,OPERATOR,1.0,7.0,False,0,58.0,46.8,15.447401854944626,46.0,31.0,105.0,True,False,False,True,False,False
SL2225TGTG2292985,2001395,22000021,UNIT-01,LINE-02,Sael01-02-LAY01,Layup,1,2025-08-20 03:01:55,Auto,1.0,7.0,False,0,2.0,20.5,11.568635759083747,0.0,26.0,89.0,False,True,False,True,False,False
SL2125TGTG0630458,2000515,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-05 07:36:58,OPERATOR,1.0,7.0,False,0,28.0,25.9,18.308771403620476,59.0,31.0,114.0,True,False,False,True,False,False
SL2125TGTG0781409,L1J78,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-20 04:32:34,OPERATOR,1.0,7.0,False,0,29.0,32.3,16.620268352228262,23.0,28.0,98.0,False,True,False,True,False,False
SL2225TGTG0890495,2000615,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-31 03:34:53,OPERATOR,1.0,7.0,False,0,28.0,35.9,9.837005058076095,37.0,43.0,108.0,False,True,False,True,False,False
SL2225TGTG0630985,2000516,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,FLASHER TEST,1,2025-03-05 01:12:22,OPERATOR,1.0,7.0,False,0,22.0,31.9,13.328749221905818,37.0,24.0,3.0,False,True,True,False,False,False
SL2325TGTG0871876,2000603,22000020,UNIT-01,LINE-03,Sael01-03-IVT01,Flasher Test,1,2025-03-29 07:39:30,OPERATOR,1.0,7.0,False,0,14.0,25.1,11.298475539952753,32.0,15.0,0.0,True,False,False,True,False,False
SL2325TGTG0861982,L3J86,22000020,UNIT-01,LINE-03,Sael01-03-IVT01,Flasher Test,1,2025-03-28 11:04:43,OPERATOR,1.0,7.0,False,0,58.0,45.4,38.34115854294891,63.0,145.0,96.0,True,False,False,True,False,False
SL2325TGTG2290860,2001396,22000021,UNIT-01,LINE-03,Sael01-03-LAY01,Layup,1,2025-08-18 23:47:15,Auto,1.0,7.0,False,0,117.0,119.0,97.42347424173606,120.0,74.0,0.0,False,True,False,True,False,False
SL2125TGTG0831996,L1J83,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-25 09:38:23,OPERATOR,1.0,7.0,False,0,16.0,28.3,10.635892486553148,38.0,39.0,118.0,True,False,False,True,False,False
SL2125TGTG0860114,L1J86,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-27 14:38:58,OPERATOR,1.0,7.0,False,0,24.0,28.6,12.26739074344122,49.0,26.0,107.0,True,False,False,True,False,False
SL2125TGTG0900421,2000617,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-31 18:19:53,OPERATOR,1.0,7.0,False,0,34.0,28.1,12.476199033364466,16.0,38.0,105.0,True,False,False,True,False,False
